Expression value	RPKM	Expression value	RPKM	Expression value	RPKM
0	0	0.39827642023826	0.39827642023826	0.148038875719351	0.148038875719351
0.45876861925	0.45876861925	0.82224809339512	0.82224809339512	0.1146107424924	0.1146107424924
1.3744091399443	1.3744091399443	0.72451317790113	0.72451317790113	0.220336931303219	0.220336931303219
0.40988672270109	0.40988672270109	0.15304945406536	0.15304945406536	0.124119930734128	0.124119930734128
0	0	0	0	0	0
3.5456561525741	3.5456561525741	2.5226206341584	2.5226206341584	1.055542121515	1.055542121515
2.7255673601409	2.7255673601409	1.2965370816348	1.2965370816348	0.699563183590248	0.699563183590248
0.62963507403568	0.62963507403568	0.75956122249774	0.75956122249774	0.192496370904419	0.192496370904419
2.5820210541672	2.5820210541672	0.34027499981521	0.34027499981521	0.25870871484935	0.25870871484935
0.82932100761771	0.82932100761771	0	0	0.0342451375158016	0.0342451375158016
0.43155889424621	0.43155889424621	0	0	0.0367544794889422	0.0367544794889422
0.68165620550871	0.68165620550871	0.8399380714393	0.8399380714393	0.193514870221373	0.193514870221373
1.3127840489308	1.3127840489308	0.49018636337017	0.49018636337017	0.149074112612493	0.149074112612493
0	0	0	0	0.0302377278065056	0.0302377278065056
0	0	0	0	0	0
0.3400871720962	0.3400871720962	0	0	0.0386188371441784	0.0386188371441784
0.42978049220948	0.42978049220948	0.38514642836227	0.38514642836227	0.224498514827147	0.224498514827147
1.661310787585	1.661310787585	0	0	0.157209425542673	0.157209425542673
1.3828959042144	1.3828959042144	1.7427343913188	1.7427343913188	0.196294641837813	0.196294641837813
3.98211161509	3.98211161509	0	0	1.87336468183033	1.87336468183033
0.67286064156667	0.67286064156667	0	0	0.171916113738601	0.171916113738601
0.44911033252895	0.44911033252895	0	0	0.0849983975422108	0.0849983975422108
0.13967865996808	0.13967865996808	0.31293147304435	0.31293147304435	0.071375886507544	0.071375886507544
0.12269811699157	0.12269811699157	0	0	0.153263777215328	0.153263777215328
0.35353694726384	0.35353694726384	0.19801313548569	0.19801313548569	0.0602192036824477	0.0602192036824477
1.3905786592378	1.3905786592378	0	0	0.0263180223501068	0.0263180223501068
0.81267583981429	0.81267583981429	0	0	0.0692129808558002	0.0692129808558002
0.32591687325885	0.32591687325885	0	0	0.111029156789513	0.111029156789513
2.6873145868706	2.6873145868706	0.43004079731248	0.43004079731248	0.435942701504836	0.435942701504836
21.774770559348	21.774770559348	9.4725202651262	9.4725202651262	4.23711268612952	4.23711268612952
36.515693969511	36.515693969511	14.508782909827	14.508782909827	10.7562610547606	10.7562610547606
24.107162822032	24.107162822032	10.916691387514	10.916691387514	5.70799074904774	5.70799074904774
29.043731490409	29.043731490409	15.379855687851	15.379855687851	8.75490667545324	8.75490667545324
63.256214009892	63.256214009892	6.0953608662551	6.0953608662551	4.51840394586887	4.51840394586887
2.2656841947926	2.2656841947926	1.4502755164538	1.4502755164538	0.514562712845191	0.514562712845191
1.7878868475914	1.7878868475914	2.0027614274838	2.0027614274838	0.253780929804601	0.253780929804601
0.58560464927794	0.58560464927794	0.18742419775918	0.18742419775918	0.018999641803553	0.018999641803553
0	0	0	0	0	0
0.1858694247496	0.1858694247496	0	0	0.0422130655516564	0.0422130655516564
0.20858679888567	0.20858679888567	0	0	0	0
0.26403392264008	0.26403392264008	0	0	0.0299825571077166	0.0299825571077166
0.38050659829889	0.38050659829889	0.15499535646641	0.15499535646641	0.0824893237839167	0.0824893237839167
0	0	0	0	0	0
0.25121767749004	0.25121767749004	0	0	0.0259338176442658	0.0259338176442658
1.6324184260617	1.6324184260617	0	0	0.0926852091460281	0.0926852091460281
